id,user_id,name,status,description,tags,DueDate,created_by,time,color
74e7e799-e57a-489d-a648-c066eb59ab05,c2add367-1824-4759-82bf-3ca7d579b34d,Task 1,DONE,This is the description for task 1.,feature,2025-09-25T19:58:21.456315,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456327,bg-sky-500
74f5acfe-906a-4208-b03b-8682b344a543,c2add367-1824-4759-82bf-3ca7d579b34d,Task 2,DONE,This is the description for task 2.,"documentation,feature,testing",2025-09-13T19:58:21.456337,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456340,bg-sky-500
7dc14dfe-edfa-4eae-a4f3-23ed487ae93f,e7a7d671-e78f-4269-b961-ca2472932f63,Task 3,IN_PROGRESS,This is the description for task 3.,refactor,2025-09-02T19:58:21.456347,e7a7d671-e78f-4269-b961-ca2472932f63,2025-08-29T19:58:21.456349,bg-red-500
b069de92-746a-40a8-ba29-3d96f32035d2,b7b84e87-da49-45bb-8bb8-ede415d7c0cd,Task 4,DONE,This is the description for task 4.,bug,2025-09-13T19:58:21.456354,b7b84e87-da49-45bb-8bb8-ede415d7c0cd,2025-08-29T19:58:21.456356,bg-pink-500
2a80b191-f663-46c1-9754-f555385fe9fa,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,Task 5,IN_PROGRESS,This is the description for task 5.,refactor,2025-09-27T19:58:21.456361,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,2025-08-29T19:58:21.456363,bg-yellow-500
c8132803-7aa8-4076-846e-e2284ea2c233,e7a7d671-e78f-4269-b961-ca2472932f63,Task 6,IN_PROGRESS,This is the description for task 6.,testing,2025-09-20T19:58:21.456368,e7a7d671-e78f-4269-b961-ca2472932f63,2025-08-29T19:58:21.456370,bg-red-500
6530882e-c5cb-4c01-9505-3238e3a2b78b,e7a7d671-e78f-4269-b961-ca2472932f63,Task 7,DONE,This is the description for task 7.,"testing,documentation",2025-09-18T19:58:21.456376,e7a7d671-e78f-4269-b961-ca2472932f63,2025-08-29T19:58:21.456377,bg-red-500
9d833d89-d7e8-4f5d-8a60-3f706dc53117,c2add367-1824-4759-82bf-3ca7d579b34d,Task 8,IN_PROGRESS,This is the description for task 8.,bug,2025-09-19T19:58:21.456382,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456384,bg-sky-500
223c7589-25e1-496f-b2db-a606ebf7df3d,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,Task 9,DONE,This is the description for task 9.,refactor,2025-09-04T19:58:21.456389,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,2025-08-29T19:58:21.456391,bg-yellow-500
a2103283-f219-4406-98b2-ac9de0bcbed8,c2add367-1824-4759-82bf-3ca7d579b34d,Task 10,IN_PROGRESS,This is the description for task 10.,documentation,2025-09-18T19:58:21.456396,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456398,bg-sky-500
0c168690-dc53-49b7-9065-f8e7d146bdf0,c2add367-1824-4759-82bf-3ca7d579b34d,Task 11,DONE,This is the description for task 11.,"bug,feature",2025-08-30T19:58:21.456404,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456405,bg-sky-500
1d8e8cfc-00f8-458c-97d5-edf780a8d753,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,Task 12,TODO,This is the description for task 12.,"bug,refactor,feature",2025-09-27T19:58:21.456411,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,2025-08-29T19:58:21.456413,bg-yellow-500
7fea7cb6-2c35-42bd-a52e-980674078265,e7a7d671-e78f-4269-b961-ca2472932f63,Task 13,DONE,This is the description for task 13.,"refactor,documentation",2025-09-15T19:58:21.456418,e7a7d671-e78f-4269-b961-ca2472932f63,2025-08-29T19:58:21.456420,bg-red-500
acfe2a83-bbad-4fc8-a369-9da77a85bad4,c2add367-1824-4759-82bf-3ca7d579b34d,Task 14,DONE,This is the description for task 14.,"refactor,documentation,bug",2025-09-17T19:58:21.456426,c2add367-1824-4759-82bf-3ca7d579b34d,2025-08-29T19:58:21.456427,bg-sky-500
a495e5d1-5527-4b3f-b4ae-dd09c225a26a,b7b84e87-da49-45bb-8bb8-ede415d7c0cd,Task 15,TODO,This is the description for task 15.,"refactor,bug,documentation",2025-09-05T19:58:21.456433,b7b84e87-da49-45bb-8bb8-ede415d7c0cd,2025-08-29T19:58:21.456434,bg-pink-500
21967684-613e-4aa2-b825-c4e4c71fd90b,fa652070-ab24-478e-a7b4-09ca120fdbe9,Task 16,IN_PROGRESS,This is the description for task 16.,"bug,testing,documentation",2025-09-16T19:58:21.456440,fa652070-ab24-478e-a7b4-09ca120fdbe9,2025-08-29T19:58:21.456442,bg-neutral-500
978266b3-70dd-4e39-b3bf-3fbe84452d40,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,Task 17,IN_PROGRESS,This is the description for task 17.,"testing,documentation,feature",2025-09-25T19:58:21.456447,f5bd31d0-951b-4a9b-8b2d-a28398529d5d,2025-08-29T19:58:21.456449,bg-yellow-500
1aef9e8b-f0f3-4c78-8c67-7a3e306062b9,fa652070-ab24-478e-a7b4-09ca120fdbe9,Task 18,DONE,This is the description for task 18.,documentation,2025-09-08T19:58:21.456456,fa652070-ab24-478e-a7b4-09ca120fdbe9,2025-08-29T19:58:21.456457,bg-neutral-500
844ce0c4-96be-403e-a2b7-6ada06a66e08,fa652070-ab24-478e-a7b4-09ca120fdbe9,Task 19,DONE,This is the description for task 19.,"feature,bug",2025-09-15T19:58:21.456463,fa652070-ab24-478e-a7b4-09ca120fdbe9,2025-08-29T19:58:21.456465,bg-neutral-500
